binome_id,mentor_id,workfield,mentee_id,field_of_study,study_level,degree,needs,average_grade,program,engagement_score,desired_exchange_frequency,binome_score,target,binome_statut
100077,66448,Computer science,181865,Other,Bac+4,Master,[pro],Good,PNP,0.06644757669131984,Once every two weeks (or Bi-weekly),0.0,0,CANCELLED
100078,66216,Banking-Finance,201873,"Law, Legal Studies",Bac+5+,BTS,[pro],Not specified (or Not provided),PP,1.9023408237903292,Once a week,8.125198111609505,1,COMPLETED
100079,58006,Other,181376,"Commerce, Management, Economics, Management",Bac+3,BTS,[pro],Good,PNP,1.9106999380027636,Once a week,4.983312996263378,1,COMPLETED
100080,52568,Computer science,194255,Engineering,Bac+3,Autre,[pro],Not specified (or Not provided),PP,0.39548625202159227,Once a week,4.614102375147058,0,REJECTED
100081,52027,Teaching,193647,"Healthcare, Medicine",Bac+3,BTS,[pro],Good,PP,2.008767481799004,Once every two weeks (or Bi-weekly),3.6009502952868804,0,REJECTED
100082,52695,Teaching,207514,"Law, Legal Studies",Bac+4,BTS,"[pro, study]",Below average,PNP,0.7818583799290062,Once a week,3.9249744241728135,0,REJECTED
100083,65422,Other,205481,"IT, IS, Data, Web, Tech",Bac+2,Master,[study],Good,PNP,3.4305443410555307,More than once per week,4.339378642493607,1,COMPLETED
100084,55258,Engineering,185408,Engineering,Bac+3,BTS,[pro],Not specified (or Not provided),PNP,2.2163431575537516,Once a week,0.0,0,REJECTED
100085,56736,Engineering,188163,"IT, IS, Data, Web, Tech",Bac+5+,Licence,[pro],Good,PNP,3.1357021131102973,Once a week,1.346315850904659,0,CANCELLED
100086,50391,Other,201442,"IT, IS, Data, Web, Tech",Bac+4,Autre,[pro],Not specified (or Not provided),PNP,2.2317221033635186,Once a week,8.07758410523387,1,COMPLETED
100087,63986,nan,205540,"Healthcare, Medicine",Bac+2,Licence,[study],Excellent,PNP,2.1533781852141183,Once every two weeks (or Bi-weekly),2.909489779082536,1,COMPLETED
100088,62666,"Accounting, management",186283,"Healthcare, Medicine",Bac+4,Master,"[pro, study]",Average,PNP,1.701810278872008,Once every two weeks (or Bi-weekly),4.0811030081510005,0,REJECTED
100089,55892,Marketing,181976,"Accounting, Finance",Bac+2,BTS,[pro],Not specified (or Not provided),PNP,1.8510113416955962,Once a week,0.0,0,REJECTED
100090,53561,Engineering,186443,"Accounting, Finance",Bac+3,Licence,[pro],Average,PNP,0.7853067007472553,Once a week,4.344294781651508,0,REJECTED
100091,56184,nan,193324,"Healthcare, Medicine",Bac+5+,Autre,[pro],Average,PNP,2.13787060913442,Once every two weeks (or Bi-weekly),0.0,0,CANCELLED
100092,69483,Marketing,201143,"Education, Teaching",Bac+3,Licence,"[pro, study]",Very good,PNP,1.5287197400754038,Once a week,,0,REJECTED
100093,58392,Computer science,187595,"Banking, Insurance and Finance",Bac+4,Master,[study],Average,PP,1.9745505092444116,Once every two weeks (or Bi-weekly),1.4618037320133053,0,CANCELLED
100094,63067,Computer science,184920,"IT, IS, Data, Web, Tech",Bac+4,Master,"[pro, study]",Average,PP,0.9086207527601158,Once a week,2.928012269423115,1,COMPLETED
100095,65265,Computer science,198271,"Law, Legal Studies",Bac+5+,BTS,[pro],Average,PNP,0.8636762050891444,More than once per week,4.24729388261475,0,REJECTED
100096,69488,Engineering,207023,"Commerce, Management, Economics, Management",Bac+5+,Licence,[study],Good,PNP,1.5610328418793877,More than once per week,0.2693603914064493,0,REJECTED
100097,52454,Healthcare,197375,"IT, IS, Data, Web, Tech",Bac+1,Licence,[study],Not specified (or Not provided),PP,3.3044764693502304,Once every two weeks (or Bi-weekly),9.051745088145339,1,COMPLETED
100098,61837,Computer science,185228,"Accounting, Finance",Bac+1,Autre,[pro],Not specified (or Not provided),PNP,2.2107510574161444,More than once per week,6.130725132231912,0,REJECTED
100099,64039,Banking-Finance,191748,"Accounting, Finance",Bac+3,BTS,[pro],Not specified (or Not provided),PNP,3.194546264619674,Once every two weeks (or Bi-weekly),7.232433224399866,1,COMPLETED
100100,69115,Other,208535,"Banking, Insurance and Finance",Bac+5+,Master,[pro],Not specified (or Not provided),PNP,2.0453787521683386,More than once per week,5.790937974465207,1,COMPLETED
100101,60965,"Accounting, management",195715,"Law, Legal Studies",Bac+3,BTS,"[pro, study]",Not specified (or Not provided),PNP,2.995746268344496,More than once per week,2.2543506176920403,1,COMPLETED
100102,59762,Engineering,194484,"Commerce, Management, Economics, Management",Bac+4,Licence,[study],Good,PP,3.706875461525569,More than once per week,8.603071103381957,1,COMPLETED
100103,55056,Other,204430,"IT, IS, Data, Web, Tech",Bac+4,Autre,"[pro, study]",Good,PNP,2.417003071703273,More than once per week,0.0,0,REJECTED
100104,64948,Engineering,186450,"Commerce, Management, Economics, Management",Bac+3,Autre,[pro],Not specified (or Not provided),PP,2.180232347979783,More than once per week,5.328283820076804,1,COMPLETED
100105,58110,Other,199988,"IT, IS, Data, Web, Tech",Bac+3,Master,[pro],Not specified (or Not provided),PNP,0.8218222557323456,Once a week,4.839350680156084,0,REJECTED
100106,63773,Healthcare,197467,"Accounting, Finance",Bac+3,Autre,[study],Not specified (or Not provided),PNP,0.8509857072759405,More than once per week,4.308627896549607,0,REJECTED
100107,67412,Healthcare,205010,"Commerce, Management, Economics, Management",Bac+2,BTS,[pro],Below average,PNP,2.250613157731782,Once every two weeks (or Bi-weekly),6.810490148631624,1,COMPLETED
100108,50502,Healthcare,180020,"Healthcare, Medicine",Bac+5+,BTS,[pro],Not specified (or Not provided),PNP,2.811888371828017,More than once per week,4.407383302698516,1,COMPLETED
100109,56910,"Accounting, management",207498,"Healthcare, Medicine",Bac+2,Licence,"[pro, study]",Very good,PNP,2.560225564555362,Once every two weeks (or Bi-weekly),3.5739924361267645,1,COMPLETED
100110,62685,Teaching,194717,"Banking, Insurance and Finance",Bac+5+,Autre,[study],Not specified (or Not provided),PNP,2.806632842046862,Once every two weeks (or Bi-weekly),1.4663779497083813,1,COMPLETED
100111,50206,Teaching,194580,"IT, IS, Data, Web, Tech",Bac+3,Autre,[pro],Not specified (or Not provided),PNP,2.147853486584966,Once every two weeks (or Bi-weekly),3.361280300719951,0,REJECTED
100112,67868,Banking-Finance,190117,"Banking, Insurance and Finance",Bac+1,BTS,[pro],Good,PNP,2.8441910530745584,Once a week,0.0,0,CANCELLED
100113,65934,nan,189664,Engineering,Bac+2,Master,[study],Very good,PNP,4.0,Once a week,5.478740176711415,1,COMPLETED
100114,67247,Law,181099,"IT, IS, Data, Web, Tech",Bac+5+,Master,[study],Average,PNP,0.338777612542997,Once every two weeks (or Bi-weekly),3.710629698537362,0,REJECTED
100115,69174,"Accounting, management",203225,"Healthcare, Medicine",Bac+1,Master,[pro],Good,PNP,1.5759925094523601,Once a week,0.06984309212692819,0,REJECTED
100116,58755,nan,182637,"Commerce, Management, Economics, Management",Bac+4,Master,[pro],Not specified (or Not provided),PNP,1.690454496513116,Once a week,6.3142873692781745,0,REJECTED
100117,62383,Human Resources,188581,"Marketing, Communication",Bac+2,Master,[pro],Very good,PNP,1.1292240280599852,Once a week,4.275908223708493,0,CANCELLED
100118,68141,Human Resources,187744,"Banking, Insurance and Finance",Bac+3,BTS,[pro],Not specified (or Not provided),PP,1.816979494207776,Once a week,4.910803006429793,0,CANCELLED
100119,64820,Computer science,199797,"Law, Legal Studies",Bac+2,BTS,[pro],Very good,PNP,0.4916217890533279,Once a week,6.299047654342582,0,REJECTED
100120,57574,Engineering,187457,"Accounting, Finance",Bac+2,Licence,[pro],Not specified (or Not provided),PP,0.8343607494834144,Once a week,1.7319234424353298,0,CANCELLED
100121,56374,"Accounting, management",190807,"Accounting, Finance",Bac+1,Licence,[study],Not specified (or Not provided),PNP,0.6446526326512669,Once every two weeks (or Bi-weekly),0.0,0,REJECTED
100122,51678,Human Resources,197738,Engineering,Bac+3,Licence,"[pro, study]",Not specified (or Not provided),PNP,1.044660860489662,Once a week,6.668052143824893,0,REJECTED
100123,69626,Human Resources,186402,"Healthcare, Medicine",Bac+3,Licence,"[pro, study]",Excellent,PP,1.56833474463537,Once a week,5.825843618843442,0,CANCELLED
100124,51059,Marketing,184521,Engineering,Bac+3,BTS,"[pro, study]",Not specified (or Not provided),PNP,0.2717156236801841,Once a week,2.006010845534302,0,REJECTED
100125,66198,Marketing,201509,"Healthcare, Medicine",Bac+1,BTS,[pro],Good,PP,0.5389287381504103,Once a week,3.8954409529894685,0,REJECTED
100126,59914,Teaching,196389,"IT, IS, Data, Web, Tech",Bac+1,Licence,[pro],Not specified (or Not provided),PP,1.6950819788214255,Once a week,0.0,0,REJECTED
100127,69541,Engineering,188382,"Commerce, Management, Economics, Management",Bac+4,Licence,[pro],Average,PP,2.5509007364841465,More than once per week,5.596908383450577,1,COMPLETED
100128,60817,nan,204723,"IT, IS, Data, Web, Tech",Bac+2,BTS,[pro],Average,PP,1.0766585491563876,Once a week,5.170262104860474,0,REJECTED
100129,60921,Computer science,192692,"Healthcare, Medicine",Bac+3,BTS,[pro],Average,PNP,1.9708412756015854,Once every two weeks (or Bi-weekly),0.5171613622024664,0,REJECTED
100130,59789,"Accounting, management",184353,"IT, IS, Data, Web, Tech",Bac+4,Licence,[pro],Excellent,PNP,1.9926332786662893,Once a week,1.8179585845515587,1,COMPLETED
100131,66312,Engineering,195065,"Healthcare, Medicine",Bac+3,Master,[pro],Average,PP,2.076813124823299,Once every two weeks (or Bi-weekly),3.486269431951259,0,REJECTED
100132,61252,Banking-Finance,199934,"Commerce, Management, Economics, Management",Bac+2,Licence,[study],Average,PNP,2.7681504447169947,Once a week,6.6209484832442165,1,COMPLETED
100133,52693,Banking-Finance,194425,"IT, IS, Data, Web, Tech",Bac+3,BTS,[pro],Not specified (or Not provided),PNP,0.25539492020024457,More than once per week,3.0495409511080718,0,CANCELLED
100134,63931,Computer science,193111,"Banking, Insurance and Finance",Bac+4,Licence,"[pro, study]",Not specified (or Not provided),PNP,1.2316151076624453,Once a week,6.532368654087491,0,REJECTED
100135,53627,Banking-Finance,188031,"Commerce, Management, Economics, Management",Bac+3,Licence,"[pro, study]",Not specified (or Not provided),PNP,0.1551832256969079,Once a week,0.0,0,CANCELLED
100136,66157,Other,200489,"Accounting, Finance",Bac+3,Licence,[study],Average,PNP,0.2730917366550206,More than once per week,0.6421481323791183,0,CANCELLED
100137,60173,Engineering,205686,"Banking, Insurance and Finance",Bac+1,BTS,[pro],Not specified (or Not provided),PNP,1.7874155051762146,Once a week,0.2015160677328407,0,REJECTED
100138,68047,Healthcare,208409,"Commerce, Management, Economics, Management",Bac+2,Master,[study],Not specified (or Not provided),PP,0.0,Once a week,1.4999143581338579,0,REJECTED
100139,60230,"Accounting, management",209509,"Law, Legal Studies",Bac+5+,Licence,[pro],Good,PNP,0.19223523180118846,Once a week,2.6034033398724867,0,CANCELLED
100140,65707,Engineering,195510,"Banking, Insurance and Finance",Bac+4,Master,[study],Not specified (or Not provided),PP,1.952628400692684,Once a week,3.4636807344364446,0,CANCELLED
100141,61494,Computer science,185083,"Banking, Insurance and Finance",Bac+1,Master,[pro],Average,PNP,0.0,More than once per week,2.230256212758074,0,CANCELLED
100142,51306,Engineering,188816,"Law, Legal Studies",Bac+1,Licence,[pro],Very good,PNP,1.9623117433041875,Once a week,0.0,0,REJECTED
100143,56776,Healthcare,192317,"IT, IS, Data, Web, Tech",Bac+2,BTS,[pro],Average,PP,0.195266268493128,Once a week,3.786576217534554,0,CANCELLED
100144,59474,Engineering,182175,"Commerce, Management, Economics, Management",Bac+5+,BTS,[study],Not specified (or Not provided),PNP,1.914588082402731,Once a week,6.520867619441602,1,COMPLETED
100145,57526,Computer science,191341,"Banking, Insurance and Finance",Bac+3,Licence,[pro],Average,PP,1.631585935931633,Once a week,4.799296282334827,0,REJECTED
100146,55530,Engineering,205654,"Banking, Insurance and Finance",Bac+4,BTS,[pro],Very good,PNP,1.247830469214905,Once a week,0.0,0,REJECTED
100147,53748,Human Resources,208127,"IT, IS, Data, Web, Tech",Bac+3,BTS,[study],Not specified (or Not provided),PNP,1.5191206265166404,Once a week,5.977740867574233,1,COMPLETED
100148,63545,Marketing,206928,"IT, IS, Data, Web, Tech",Bac+4,Master,"[pro, study]",Good,PP,2.33285135731765,Once a week,3.1352811110663454,0,CANCELLED
100149,50663,Banking-Finance,205121,"Banking, Insurance and Finance",Bac+1,Master,[pro],Not specified (or Not provided),PNP,1.6073534339661897,Once a week,3.162652346960521,0,REJECTED
100150,51998,"Accounting, management",201608,"IT, IS, Data, Web, Tech",Bac+3,Master,"[pro, study]",Excellent,PNP,2.9387839564629767,Once a week,2.7806843380915423,1,COMPLETED
100151,57994,Banking-Finance,197579,"Commerce, Management, Economics, Management",Bac+3,BTS,[pro],Not specified (or Not provided),PNP,1.330828618459503,Once every two weeks (or Bi-weekly),6.086715680984405,0,CANCELLED
100152,67879,Computer science,182069,"IT, IS, Data, Web, Tech",Bac+5+,BTS,[study],Not specified (or Not provided),PNP,3.452293967464594,More than once per week,5.058158020580824,1,COMPLETED
100153,53304,Banking-Finance,183358,"Banking, Insurance and Finance",Bac+2,Master,[study],Excellent,PNP,0.3827833609457096,Once every two weeks (or Bi-weekly),2.783629185297499,0,CANCELLED
100154,68237,Human Resources,198822,"IT, IS, Data, Web, Tech",Bac+3,Master,[pro],Not specified (or Not provided),PNP,1.5489580260641131,Once a week,0.9682950458587276,0,REJECTED
100155,63808,"Accounting, management",188808,Engineering,Bac+4,BTS,[study],Average,PNP,2.188933467167038,Once a week,6.903070432219963,1,COMPLETED
100156,56585,Healthcare,184244,"Law, Legal Studies",Bac+5+,Master,"[pro, study]",Good,PNP,1.2749498733689015,Once a week,5.7169960874329995,1,COMPLETED
100157,67675,Marketing,199727,Engineering,Bac+5+,Master,[study],Not specified (or Not provided),PNP,2.248074726518393,Once every two weeks (or Bi-weekly),6.973906249979643,1,COMPLETED
100158,69965,nan,181811,"Healthcare, Medicine",Bac+3,BTS,[pro],Average,PP,2.1632184455306045,Once a week,5.189860081161653,1,COMPLETED
100159,61649,Engineering,196555,Engineering,Bac+5+,Master,[pro],Good,PNP,0.6442347921601334,Once a week,3.776030375668949,0,REJECTED
100160,51636,Banking-Finance,200526,"Banking, Insurance and Finance",Bac+4,Master,[pro],Excellent,PP,1.8443774279355052,Once every two weeks (or Bi-weekly),5.225330932135746,1,COMPLETED
100161,67082,Healthcare,197009,"IT, IS, Data, Web, Tech",Bac+5+,BTS,[pro],Not specified (or Not provided),PNP,4.0,Once every two weeks (or Bi-weekly),1.259736722419262,1,COMPLETED
100162,54737,Computer science,185906,"Commerce, Management, Economics, Management",Bac+5+,Autre,[pro],Very good,PP,0.09741479914635831,More than once per week,0.0,0,CANCELLED
100163,64555,Other,187983,"Commerce, Management, Economics, Management",Bac+2,Autre,[pro],Average,PNP,0.48936758597839836,Once a week,6.633778604467855,0,CANCELLED
